Name,Platform,Year_of_Release,Publisher
Green Lantern: Rise of the Manhunters,X360,2011,Warner Bros. Interactive Entertainment
Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Idea Factory
NBA 2K13,WiiU,2012,Take-Two Interactive
Crush3D,3DS,2012,Sega
NeverDead,PS3,2012,Konami Digital Entertainment
Gladiator Begins,PSP,2010,PQube
Conception II: Children of the Seven Stars,3DS,2013,Screenlife
Everybody Dance,PS3,2011,Sony Computer Entertainment
Blackwater,X360,2011,505 Games
Tom Clancy's Ghost Recon,Wii,2010,Ubisoft
Thor: God of Thunder,DS,2011,Sega
Touch My Katamari ,PSV,2011,Namco Bandai Games
PixelJunk Monsters Deluxe,PSP,2010,Sony Computer Entertainment
Killer is Dead,X360,2013,Deep Silver
Megamind: Ultimate Showdown,X360,2010,THQ
NCIS,PS3,2011,Ubisoft
Supremacy MMA,PS3,2011,505 Games
Venetica,PS3,2010,DTP Entertainment
Conduit 2,Wii,2011,Sega
Hatsune Miku: Project Diva X,PSV,2016,Sega
Dishonored 2,PC,2016,Bethesda Softworks
Fat Princess: Fistful of Cake,PSP,2010,Sony Computer Entertainment
Rodea the Sky Soldier,WiiU,2015,Nippon Ichi Software
Power Gig: Rise of the SixString,X360,2010,Unknown
nail'd,PS3,2010,Deep Silver
Marvel Avengers: Battle for Earth,WiiU,2012,Ubisoft
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Ubisoft
Spider-Man: Edge of Time,3DS,2011,Activision
Lost Planet 3,X360,2013,Capcom
LEGO Batman 2: DC Super Heroes,WiiU,2013,Warner Bros. Interactive Entertainment
Tropico 5,PC,2014,Kalypso Media
Reality Fighters,PSV,2012,Sony Computer Entertainment
Armored Core: Verdict Day,PS3,2013,From Software
Lost in Shadow,Wii,2010,Konami Digital Entertainment
